distributor_code,distributor_name,distributor_city,stockist_code,stockist_name,hq_code,hq_name,area,region,zone,be_emp_id_1,be_emp_id_2,be_emp_id_3,asm_emp_id,rsm_emp_id,zm_emp_id,vp_emp_id
021,ADONIS LABORATORIES PVT.LTD.,GUWAHATI,C1120,MAA SANTOSHIDRUG DISTRIBUTOR,S0154,NORTH LAKHIMPUR,NORTH LAKHIMPUR,ASSAM,EAST ZONE,ADLA46,,,,ADLA05,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1122,PRASAD DRUG DISTRIBUTORS,S0270,PATNA,PATNA,BIHAR,EAST ZONE,ADLA73,ADLA72,,ADLA13,ADLA12,,ADLA02
014,V.K.CORPORATION,BANGALORE,C1123,SAI RADHA PHARMA(INDIA)PVT.LTD.-MLR,S0142,MANGALORE,MANGALORE,KARNATAKA,SOUTH ZONE,,,,ADKAASM1,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1121,N. S. MEDICAL AGENCY,S0359,AURANGABAD,PATNA,BIHAR,EAST ZONE,ADLA80,,,ADLA14,ADLA12,,ADLA02
012,SEN MEDICOS DISTRIBUTORS,RAIPUR,C1097,SANTOSHI MEDICAL STORES,S0073,DURG,DURG,CHHATTISGARH,CENTRAL ZONE,ADCGBE4,,,ADLA28,,,ADLA02
016,ADONIS LABORATORIES PVT.LTD.,INDORE,C0426,P.S.MEDICO,S0180,SAGAR,SAGAR,MADHYA PRADESH,CENTRAL ZONE,,,,,,, ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1080,UMGAON MEDICAL & SURGICAL,S0227,LAHERIASARAI,LAHERIASARAI,BIHAR,EAST ZONE,,,,,ADLA12,,ADLA02
