period_year,period_month,bill_date,distributor_code,stockist_code,stockist_name,hq_code,hq_name,mr_emp_id,mr_name,raw_product_code,raw_product_name,brand,canonical_product_code,quantity,amount
2025,10,2025-10-16,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0010,,ARDEN 650,I0010,42.0,925.26
2025,10,2025-10-16,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0005,,ARDEN 325,I0005,44.0,1216.16
2025,10,2025-10-16,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0111,,ARDEN MF SUSPENSION,I0111,50.0,2475.0
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,1561.0,25631.62
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0156,,AMINOGLOBIN-XT,I0156,30.0,5400.0
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,1154.0,18948.68
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,75.0,1231.5
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,4620.0,75860.4
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0272,,MV 30 SYRUP,I0272,100.0,8481.0
2025,5,2025-05-28,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,33.0,3388.44
2025,6,2025-06-03,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,6,2025-06-16,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,6,2025-06-20,11.0,C0360,SHYAM PHARMA,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,385.0,6421.15
2025,6,2025-06-20,11.0,C0360,SHYAM PHARMA,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,385.0,6421.15
2025,6,2025-06-20,11.0,C0356,LAXMI MED AGENCIES,S0270,PATNA,ADLA73,,I0023,,LORAMYL,I0023,1500.0,25050.0
2025,6,2025-06-20,11.0,C0356,LAXMI MED AGENCIES,S0270,PATNA,ADLA72,,I0023,,LORAMYL,I0023,1500.0,25050.0
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,6.0,616.08
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,68.0,6982.24
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,16.0,1642.88
2025,6,2025-06-30,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0111,,ARDEN MF SUSPENSION,I0111,100.0,4950.0
2025,6,2025-06-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0272,,MV 30 SYRUP,I0272,100.0,8481.0
